"","name","layout","cmc","power","toughness","release_year","color_identity","text","text_num"
"28","Sea Serpent","normal",6,5,5,1993,"['U']","Sea Serpent can't attack unless defending player controls an Island.
When you control no Islands, sacrifice Sea Serpent.",120
"29","Vesuvan Doppelganger","normal",5,0,0,1993,"['U']","You may have Vesuvan Doppelganger enter the battlefield as a copy of any creature on the battlefield, except it doesn't copy that creature's color and it has ""At the beginning of your upkeep, you may have this creature become a copy of target creature, except it doesn't copy that creature's color and it has this ability.""",323
"30","Wall of Air","normal",3,1,5,1993,"['U']","Defender, flying (This creature can't attack, and it can block creatures with flying.)",86
"31","Wall of Water","normal",3,0,5,1993,"['U']","Defender (This creature can't attack.)
{U}: Wall of Water gets +1/+0 until end of turn.",87
"32","Water Elemental","normal",5,5,4,1993,"['U']","",0
"33","Black Knight","normal",2,2,2,1993,"['B']","First strike (This creature deals combat damage before creatures without first strike.)
Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)",199
"34","Bog Wraith","normal",4,3,3,1993,"['B']","Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)",88
"35","Demonic Hordes","normal",6,5,5,1993,"['B']","{T}: Destroy target land.
At the beginning of your upkeep, unless you pay {B}{B}{B}, tap Demonic Hordes and sacrifice a land of an opponent's choice.",149
"36","Drudge Skeletons","normal",2,1,1,1993,"['B']","{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",173
"37","Frozen Shade","normal",3,0,1,1993,"['B']","{B}: Frozen Shade gets +1/+1 until end of turn.",47
"38","Hypnotic Specter","normal",3,2,2,1993,"['B']","Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",100
"39","Lord of the Pit","normal",7,7,7,1993,"['B']","Flying, trample
At the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you.",150
"40","Nether Shadow","normal",2,1,1,1993,"['B']","Haste
At the beginning of your upkeep, if Nether Shadow is in your graveyard with three or more creature cards above it, you may put Nether Shadow onto the battlefield.",168
"41","Nettling Imp","normal",3,1,1,1993,"['B']","{T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. Destroy it at the beginning of the next end step if it didn't attack this turn. Activate only during an opponent's turn, before attackers are declared.",308
"42","Royal Assassin","normal",3,1,1,1993,"['B']","{T}: Destroy target tapped creature.",36
"43","Scathe Zombies","normal",3,2,2,1993,"['B']","",0
"44","Scavenging Ghoul","normal",4,2,2,1993,"['B']","At the beginning of each end step, put a corpse counter on Scavenging Ghoul for each creature that died this turn.
Remove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul.",190
"45","Sengir Vampire","normal",5,4,4,1993,"['B']","Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.",187
"46","Wall of Bone","normal",3,1,4,1993,"['B']","Defender (This creature can't attack.)
{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",208
"47","Will-o'-the-Wisp","normal",1,0,1,1993,"['B']","Flying (This creature can't be blocked except by creatures with flying or reach.)
{B}: Regenerate Will-o'-the-Wisp. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",255
"48","Zombie Master","normal",3,2,3,1993,"['B']","Other Zombie creatures have swampwalk. (They can't be blocked as long as defending player controls a Swamp.)
Other Zombies have ""{B}: Regenerate this permanent.""",161
"49","Dragon Whelp","normal",4,2,3,1993,"['R']","Flying
{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.",181
"50","Dwarven Demolition Team","normal",3,1,1,1993,"['R']","{T}: Destroy target Wall.",25
"51","Dwarven Warriors","normal",3,1,1,1993,"['R']","{T}: Target creature with power 2 or less can't be blocked this turn.",69
"52","Earth Elemental","normal",5,4,5,1993,"['R']","",0
"53","Fire Elemental","normal",5,5,4,1993,"['R']","",0
"54","Goblin Balloon Brigade","normal",1,1,1,1993,"['R']","{R}: Goblin Balloon Brigade gains flying until end of turn.",59
"55","Goblin King","normal",3,2,2,1993,"['R']","Other Goblins get +1/+1 and have mountainwalk.",46
"56","Granite Gargoyle","normal",3,2,2,1993,"['R']","Flying
{R}: Granite Gargoyle gets +0/+1 until end of turn.",58
"57","Gray Ogre","normal",3,2,2,1993,"['R']","",0
"58","Hill Giant","normal",4,3,3,1993,"['R']","",0
"59","Hurloon Minotaur","normal",3,2,3,1993,"['R']","",0
"60","Ironclaw Orcs","normal",2,2,2,1993,"['R']","Ironclaw Orcs can't block creatures with power 2 or greater.",60
"61","Mons's Goblin Raiders","normal",1,1,1,1993,"['R']","",0
"62","Orcish Artillery","normal",3,1,3,1993,"['R']","{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.",71
"63","Roc of Kher Ridges","normal",4,3,3,1993,"['R']","Flying",6
"64","Rock Hydra","normal",2,0,0,1993,"['R']","Rock Hydra enters the battlefield with X +1/+1 counters on it.
For each 1 damage that would be dealt to Rock Hydra, if it has a +1/+1 counter on it, remove a +1/+1 counter from it and prevent that 1 damage.
{R}: Prevent the next 1 damage that would be dealt to Rock Hydra this turn.
{R}{R}{R}: Put a +1/+1 counter on Rock Hydra. Activate only during your upkeep.",362
"65","Sedge Troll","normal",3,2,2,1993,"['B', 'R']","Sedge Troll gets +1/+1 as long as you control a Swamp.
{B}: Regenerate Sedge Troll.",83
"66","Shivan Dragon","normal",6,5,5,1993,"['R']","Flying (This creature can't be blocked except by creatures with flying or reach.)
{R}: Shivan Dragon gets +1/+0 until end of turn.",130
"67","Stone Giant","normal",4,3,4,1993,"['R']","{T}: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. Destroy that creature at the beginning of the next end step.",170
"68","Two-Headed Giant of Foriys","normal",5,4,4,1993,"['R']","Trample
Two-Headed Giant of Foriys can block an additional creature each combat.",80
"69","Uthden Troll","normal",3,2,2,1993,"['R']","{R}: Regenerate Uthden Troll.",29
"70","Wall of Fire","normal",3,0,5,1993,"['R']","Defender (This creature can't attack.)
{R}: Wall of Fire gets +1/+0 until end of turn.",86
"71","Wall of Stone","normal",3,0,8,1993,"['R']","Defender (This creature can't attack.)",38
"72","Birds of Paradise","normal",1,0,1,1993,"['G']","Flying
{T}: Add one mana of any color.",38
"73","Cockatrice","normal",5,2,4,1993,"['G']","Flying
Whenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.",116
"74","Craw Wurm","normal",6,6,4,1993,"['G']","",0
"75","Elvish Archers","normal",2,2,1,1993,"['G']","First strike",12
"76","Force of Nature","normal",6,8,8,1993,"['G']","Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay {G}{G}{G}{G}.",199
"77","Fungusaur","normal",4,2,2,1993,"['G']","Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.",62
"78","Giant Spider","normal",4,2,4,1993,"['G']","Reach (This creature can block creatures with flying.)",54
"79","Grizzly Bears","normal",2,2,2,1993,"['G']","",0
"80","Ironroot Treefolk","normal",5,3,5,1993,"['G']","",0
"81","Ley Druid","normal",3,1,1,1993,"['G']","{T}: Untap target land.",23
"82","Llanowar Elves","normal",1,1,1,1993,"['G']","{T}: Add {G}.",13
"83","Scryb Sprites","normal",1,1,1,1993,"['G']","Flying",6
"84","Shanodin Dryads","normal",1,1,1,1993,"['G']","Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)",90
"85","Thicket Basilisk","normal",5,2,4,1993,"['G']","Whenever Thicket Basilisk blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.",115
"86","Timber Wolves","normal",1,1,1,1993,"['G']","Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",326
"87","Verduran Enchantress","normal",3,0,2,1993,"['G']","Whenever you cast an enchantment spell, you may draw a card.",60
"88","Wall of Brambles","normal",3,2,3,1993,"['G']","Defender (This creature can't attack.)
{G}: Regenerate Wall of Brambles.",72
"89","Wall of Ice","normal",3,0,7,1993,"['G']","Defender (This creature can't attack.)",38
"90","Wall of Wood","normal",1,0,3,1993,"['G']","Defender (This creature can't attack.)",38
"91","War Mammoth","normal",4,3,3,1993,"['G']","Trample",7
"92","Clockwork Beast","normal",6,0,4,1993,"","Clockwork Beast enters the battlefield with seven +1/+0 counters on it.
At end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate only during your upkeep.",369
"93","Juggernaut","normal",4,5,3,1993,"","Juggernaut attacks each combat if able.
Juggernaut can't be blocked by Walls.",77
"94","Living Wall","normal",4,0,6,1993,"","Defender (This creature can't attack.)
{1}: Regenerate Living Wall.",67
"95","Obsianus Golem","normal",6,4,6,1993,"","",0
"96","Island Fish Jasconius","normal",7,6,8,1994,"['U']","Island Fish Jasconius doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {U}{U}{U}. If you do, untap Island Fish Jasconius.
Island Fish Jasconius can't attack unless defending player controls an Island.
When you control no Islands, sacrifice Island Fish Jasconius.",296
"97","Serendib Efreet","normal",3,3,4,1994,"['U']","Flying
At the beginning of your upkeep, Serendib Efreet deals 1 damage to you.",78
"98","El-Hajjâj","normal",3,1,1,1994,"['B']","Whenever El-Hajjâj deals damage, you gain that much life.",57
"99","Erg Raiders","normal",2,2,3,1994,"['B']","At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn.",153
"100","Sorceress Queen","normal",3,1,1,1994,"['B']","{T}: Target creature other than Sorceress Queen has base power and toughness 0/2 until end of turn.",99
"101","Atog","normal",2,1,2,1994,"['R']","Sacrifice an artifact: Atog gets +2/+2 until end of turn.",57
"102","Dwarven Weaponsmith","normal",2,1,1,1994,"['R']","{T}, Sacrifice an artifact: Put a +1/+1 counter on target creature. Activate only during your upkeep.",101
"103","Kird Ape","normal",1,1,1,1994,"['R']","Kird Ape gets +1/+2 as long as you control a Forest.",52
"104","Mijae Djinn","normal",3,6,3,1994,"['R']","Whenever Mijae Djinn attacks, flip a coin. If you lose the flip, remove Mijae Djinn from combat and tap it.",107
"105","Brass Man","normal",1,1,3,1994,"","Brass Man doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.",125
"106","Dancing Scimitar","normal",4,1,5,1994,"","Flying (This creature can't be blocked except by creatures with flying or reach.)",81
"107","Dragon Engine","normal",3,1,3,1994,"","{2}: Dragon Engine gets +1/+0 until end of turn.",48
"108","Mishra's War Machine","normal",7,5,5,1994,"","Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
At the beginning of your upkeep, Mishra's War Machine deals 3 damage to you unless you discard a card. If Mishra's War Machine deals damage to you this way, tap it.",491
"109","Onulet","normal",3,2,2,1994,"","When Onulet dies, you gain 2 life.",34
"110","Ornithopter","normal",0,0,2,1994,"","Flying",6
"111","Szarekh, the Silent King","normal",4,3,4,2022,"['B']","Flying
My Will Be Done — Whenever Szarekh, the Silent King attacks, mill three cards. You may put an artifact creature card or Vehicle card from among the cards milled this way into your hand.",192
"112","Abaddon the Despoiler","normal",5,5,5,2022,"['B', 'R', 'U']","Trample
Mark of Chaos Ascendant — During your turn, spells you cast from your hand with mana value X or less have cascade, where X is the total amount of life your opponents have lost this turn.",194
"113","Inquisitor Greyfax","normal",4,3,3,2022,"['B', 'U', 'W']","Vigilance
Unquestionable Wisdom — Other creatures you control get +1/+0 and have vigilance.
Hunt for Heresy — {1}, {T}: Tap target creature an opponent controls. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",264
"114","The Swarmlord","normal",6,5,5,2022,"['G', 'R', 'U']","Rapid Regeneration — The Swarmlord enters the battlefield with two +1/+1 counters on it for each time you've cast your commander from the command zone this game.
Xenos Cunning — Whenever a creature you control with a counter on it dies, draw a card.",249
"115","Imotekh the Stormlord","normal",4,3,3,2022,"['B']","Phaeron — Whenever one or more artifact cards leave your graveyard, create two 2/2 black Necron Warrior artifact creature token.
Grand Strategist — At the beginning of combat on your turn, another target artifact creature you control gets +2/+2 and gains menace until end of turn.",280
"116","Be'lakor, the Dark Master","normal",6,6,5,2022,"['B', 'R', 'U']","Flying
Prince of Chaos — When Be'lakor, the Dark Master enters the battlefield, you draw X cards and you lose X life, where X is the number of Demons you control.
Lord of Torment — Whenever another Demon enters the battlefield under your control, it deals damage equal to its power to any target.",296
"117","Magus Lucea Kane","normal",4,1,1,2022,"['G', 'R', 'U']","Spiritual Leader — At the beginning of combat on your turn, put a +1/+1 counter on target creature.
Psychic Stimulus — {T}: Add {C}{C}. When you next cast a spell with {X} in its mana cost or activate an ability with {X} in its activation cost this turn, copy that spell or ability. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",370
"118","Marneus Calgar","normal",5,3,5,2022,"['B', 'U', 'W']","Double strike
Master Tactician — Whenever one or more tokens enter the battlefield under your control, draw a card.
Chapter Master — {6}: Create two 2/2 white Astartes Warrior creature tokens with vigilance.",207
"119","Celestine, the Living Saint","normal",5,3,4,2022,"['W']","Flying, lifelink
Healing Tears — At the beginning of your end step, return target creature card with mana value X or less from your graveyard to the battlefield, where X is the amount of life you gained this turn.",213
"120","Grey Knight Paragon","normal",5,4,4,2022,"['W']","Flash
Rites of Banishment — When Grey Knight Paragon enters the battlefield, destroy target attacking creature. If that creature is a Demon, exile it instead.",158
"121","Space Marine Devastator","normal",4,3,3,2022,"['W']","Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters the battlefield, create that many tokens that are copies of it.)
Grav-cannon — When Space Marine Devastator enters the battlefield, destroy up to one target artifact or enchantment.",297
"122","Space Marine Scout","normal",3,2,1,2022,"['W']","First strike, vigilance
Concealed Position — When Space Marine Scout enters the battlefield, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",234
"123","Thunderwolf Cavalry","normal",5,4,4,2022,"['W']","First strike
Crushing Teeth — Whenever Thunderwolf Cavalry deals combat damage to a player, put a +1/+1 counter on each other creature you control.",147
"124","Triumph of Saint Katherine","normal",5,5,5,2022,"['W']","Lifelink
Praesidium Protectiva — When Triumph of Saint Katherine dies, exile it and the top six cards of your library in a face-down pile. If you do, shuffle that pile and put it back on top of your library.
Miracle {1}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",328
"125","Ultramarines Honour Guard","normal",4,2,2,2022,"['W']","Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters the battlefield, create that many tokens that are copies of it.)
Other creatures you control get +1/+1.",219
"126","Vexilus Praetor","normal",4,3,4,2022,"['W']","Flash
Vigilance
Aegis of the Emperor — Commanders you control have protection from everything.",94
"127","Zephyrim","normal",4,3,3,2022,"['W']","Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters the battlefield, create that many tokens that are copies of it.)
Flying, vigilance
Miracle {1}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",319
"128","Genestealer Locus","normal",4,3,3,2022,"['U']","Neurotraumal Rod — Whenever a creature attacks you, it gets -1/-0 until end of turn.
Whenever a creature attacks one of your opponents, it gets +0/+1 until end of turn.",168
"129","Genestealer Patriarch","normal",5,4,4,2022,"['U']","Genestealer's Kiss — Whenever Genestealer Patriarch attacks, put an infection counter on target creature defending player controls.
Children of the Cult — Whenever a creature with an infection counter on it dies, you create a token that's a copy of that creature, except it's a Tyranid in addition to its other types.",317
"130","Heralds of Tzeentch","normal",5,3,3,2022,"['U']","Flying
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)",247
"131","Lord of Change","normal",7,6,6,2022,"['U']","Flying, ward {3}
Architect of Deception — When Lord of Change enters the battlefield, draw three cards.",103
"132","Sicarian Infiltrator","normal",3,1,2,2022,"['U']","Flash
Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters the battlefield, create that many tokens that are copies of it.)
Benediction of the Omnissiah — When Sicarian Infiltrator enters the battlefield, draw a card.",280
"133","Sister of Silence","normal",5,3,3,2022,"['U']","Flash
Psychic Abomination — When Sister of Silence enters the battlefield, counter target instant spell, sorcery spell, activated ability, or triggered ability.",160
"134","Vanguard Suppressor","normal",4,3,2,2022,"['U']","Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters the battlefield, create that many tokens that are copies of it.)
Flying
Suppressing Fire — Whenever Vanguard Suppressor deals combat damage to a player, draw a card.",281
"135","Anrakyr the Traveller","normal",5,4,4,2022,"['B']","Lord of the Pyrrhian Legions — Whenever Anrakyr the Traveller attacks, you may cast an artifact spell from your hand or graveyard by paying life equal to its mana value rather than paying its mana cost.",202
"136","Arco-Flagellant","normal",3,3,1,2022,"['B']","Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters the battlefield, create that many tokens that are copies of it.)
Arco-Flagellant can't block.
Endurant — Pay 3 life: Arco-Flagellant gains indestructible until end of turn.",288
"137","Chronomancer","normal",2,1,1,2022,"['B']","Flying
Atomic Transmutation — {1}, {T}, Sacrifice another artifact: Draw a card.
Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",290
"138","Cryptek","normal",4,3,3,2022,"['B']","{1}{B}, {T}: Choose another target artifact creature you control. When that creature dies this turn, return it to the battlefield tapped under your control.",156
"139","Flayed One","normal",3,4,1,2022,"['B']","Lifelink
Flesh Flayer — When Flayed One enters the battlefield, mill three cards.",81
"140","Great Unclean One","normal",5,4,5,2022,"['B']","Reverberating Summons — At the beginning of your end step, each opponent loses 2 life. Then for each opponent who has less life than you, create a 1/3 black Demon creature token named Plaguebearer of Nurgle.",207
"141","Hexmark Destroyer","normal",6,6,6,2022,"['B']","Multi-threat Eliminator — Hexmark Destroyer can't be blocked except by six or more creatures.
Unearth {4}{B}{B} ({4}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",309
"142","Illuminor Szeras","normal",3,3,3,2022,"['B']","Secrets of the Soul — {T}, Sacrifice another creature: Add an amount of {B} equal to the sacrificed creature's mana value.",122
"143","Lokhust Heavy Destroyer","normal",4,3,2,2022,"['B']","Flying
Enmitic Exterminator — When Lokhust Heavy Destroyer enters the battlefield, each player sacrifices a creature.
Unearth {5}{B}{B}{B} ({5}{B}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",339
"144","Lychguard","normal",3,2,3,2022,"['B']","Guardian Patrols — {3}{B}, Sacrifice Lychguard: Return all legendary creature cards from your graveyard to your hand.",117
"145","Mortarion, Daemon Primarch","normal",6,5,6,2022,"['B']","Flying
Primarch of the Death Guard — At the beginning of your end step, you may pay {X}. If you do, create X 2/2 black Astartes Warrior creature tokens with menace. X can't be greater than the amount of life you lost this turn.",227
"146","Necron Deathmark","normal",5,5,3,2022,"['B']","Flash
Synaptic Disintegrator — When Necron Deathmark enters the battlefield, destroy up to one target creature and target player mills three cards.",147
"147","Necron Overlord","normal",4,2,5,2022,"['B']","Relentless March — {X}, {T}, Tap X untapped artifacts you control: Target opponent loses X life.",96
"148","Plague Drone","normal",4,3,3,2022,"['B']","Flying
Rot Fly — If an opponent would gain life, that player loses that much life instead.",90
"149","Plasmancer","normal",4,3,3,2022,"['B']","Flying
Dynastic Advisor — When Plasmancer enters the battlefield, search your library for a basic Swamp card, reveal it, put it into your hand, then shuffle.",157
"150","Poxwalkers","normal",3,3,1,2022,"['B']","Deathtouch
Curse of the Walking Pox — Whenever you cast a spell from anywhere other than your hand, return Poxwalkers from your graveyard to the battlefield tapped.",164
"151","Primaris Eliminator","normal",5,3,2,2022,"['B']","When Primaris Eliminator enters the battlefield, choose one —
• Executioner Round — Destroy target creature.
• Hyperfang Round — Creatures target player controls get -2/-2 until end of turn.",190
"152","Psychomancer","normal",2,1,1,2022,"['B']","Flying
Harbinger of Despair — Whenever Psychomancer or another nontoken artifact you control is put into a graveyard from the battlefield or is put into exile from the battlefield, target opponent loses 1 life and you gain 1 life.",230
"153","Royal Warden","normal",5,3,2,2022,"['B']","Phalanx Commander — When Royal Warden enters the battlefield, create two tapped 2/2 black Necron Warrior artifact creature tokens.
Unearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",340
"154","Sanguinary Priest","normal",4,2,4,2022,"['B']","Lifelink
Blood Chalice — Whenever another creature you control dies, Sanguinary Priest deals 1 damage to any target.",116
"155","Sautekh Immortal","normal",3,2,2,2022,"['B']","Flash
Elite Troops — Sautekh Immortal enters the battlefield with a +1/+1 counter on it for each creature that died this turn.",126
"156","Shard of the Nightbringer","normal",8,8,8,2022,"['B']","Flying
Drain Life — When Shard of the Nightbringer enters the battlefield, if you cast it, target opponent loses half their life, rounded up. You gain life equal to the life lost this way.",188
"157","Shard of the Void Dragon","normal",7,7,7,2022,"['B']","Flying
Sphere of the Void Dragon — Whenever Shard of the Void Dragon attacks, each opponent sacrifices a nonland permanent.
Matter Absorption — Whenever an artifact is put into a graveyard from the battlefield or is put into exile from the battlefield, put two +1/+1 counters on Shard of the Void Dragon.",304
"158","Skorpekh Destroyer","normal",4,4,2,2022,"['B']","Deathtouch
Hyperphase Threshers — Whenever an artifact enters the battlefield under your control, Skorpekh Destroyer gains first strike until end of turn.",154
"159","Skorpekh Lord","normal",3,3,2,2022,"['B']","Menace
Command Protocols — Other artifact creatures you control get +1/+0 and have menace.
Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",300
"160","Sloppity Bilepiper","normal",4,3,3,2022,"['B']","Jolly Gutpipes — {2}, {T}, Sacrifice a creature: The next creature spell you cast this turn has cascade. (When you cast your next creature spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)",351
"161","Tallyman of Nurgle","normal",3,2,3,2022,"['B']","Lifelink
The Seven-fold Chant — At the beginning of your end step, if a creature died this turn, you draw a card and you lose 1 life. If seven or more creatures died this turn, instead you draw seven cards and you lose 7 life.",226
"162","Technomancer","normal",7,5,1,2022,"['B']","When Technomancer enters the battlefield, mill three cards, then return any number of artifact creature cards with total mana value 6 or less from your graveyard to the battlefield.",181
"163","Tomb Blade","normal",6,5,4,2022,"['B']","Flying
Whenever Tomb Blade deals combat damage to a player, that player loses life equal to the number of creatures they control unless they sacrifice a creature.
Unearth {6}{B}{B}",180
"164","Trazyn the Infinite","normal",6,4,6,2022,"['B']","Deathtouch
Prismatic Gallery — As long as Trazyn the Infinite is on the battlefield, it has all activated abilities of all artifact cards in your graveyard.",156
"165","Triarch Praetorian","normal",2,2,1,2022,"['B']","Flying
Dynastic Codes — When Triarch Praetorian enters the battlefield from a graveyard, you draw two cards and you lose 2 life.
Unearth {4}{B} ({4}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",338
"166","Triarch Stalker","normal",5,4,5,2022,"['B']","Targeting Relay — At the beginning of combat on your turn, choose an opponent.
Creatures attacking the last chosen player have menace.",134
