,Feature,Coefficient,Importance
39,cyto_score_Normal,-20.852850329161075,20.852850329161075
14164,ethnicity_Non_resident_of_the_U_S_|rheum_issue_Not_done,-20.533313069910278,20.533313069910278
10789,prim_disease_hct_IIS|donor_related_Multiple_donor__non_UCB_,20.498379058370386,20.498379058370386
12457,tce_imm_match_H_B|donor_related_Unrelated,-20.460559976326195,20.460559976326195
73,prim_disease_hct_IIS,-19.68680601453116,19.68680601453116
16089,rheum_issue_Not_done|cardiac_Yes,-19.487224585230518,19.487224585230518
9899,pulm_severe_Not_done|hepatic_mild_Not_done,19.439167756337817,19.439167756337817
11611,prim_disease_hct_PCD|donor_related_Unrelated,-19.41028741928813,19.41028741928813
11610,prim_disease_hct_PCD|donor_related_Related,-19.301003375850264,19.301003375850264
10790,prim_disease_hct_IIS|donor_related_Related,19.290948538204724,19.290948538204724
10791,prim_disease_hct_IIS|donor_related_Unrelated,19.214538386189,19.214538386189
16088,rheum_issue_Not_done|cardiac_Not_done,-18.80801822034437,18.80801822034437
13592,cyto_score_detail_TBD|rheum_issue_Not_done,18.64674881332757,18.64674881332757
11609,prim_disease_hct_PCD|donor_related_Multiple_donor__non_UCB_,-18.532087126504173,18.532087126504173
859,hla_low_res_6|gvhd_proph_Missing_value,18.447655745124116,18.447655745124116
66,pulm_severe_Yes,18.415474531651434,18.415474531651434
90,tce_imm_match_H_B,18.064343934948297,18.064343934948297
10021,pulm_severe_Yes|donor_related_Unrelated,-18.03624733826624,18.03624733826624
861,hla_low_res_6|gvhd_proph_Other_GVHD_Prophylaxis,18.02457784181538,18.02457784181538
10020,pulm_severe_Yes|donor_related_Related,-17.96803637904742,17.96803637904742
852,hla_low_res_6|gvhd_proph_CSA_alone,17.94820867626549,17.94820867626549
863,hla_low_res_6|gvhd_proph_TDEPLETION____other,17.910853049690168,17.910853049690168
81,prim_disease_hct_PCD,17.811184889992173,17.811184889992173
858,hla_low_res_6|gvhd_proph_FKalone,17.786794219208506,17.786794219208506
850,hla_low_res_6|gvhd_proph_CSA___MTX____others_not_MMF_FK_,17.754030195456238,17.754030195456238
853,hla_low_res_6|gvhd_proph_Cyclophosphamide____others,17.689278465001415,17.689278465001415
15030,hepatic_severe_Not_done|donor_related_Related,17.583066673885504,17.583066673885504
856,hla_low_res_6|gvhd_proph_FK__MTX____others_not_MMF_,17.55089971463896,17.55089971463896
855,hla_low_res_6|gvhd_proph_FK__MMF____others,17.535335160605726,17.535335160605726
10019,pulm_severe_Yes|donor_related_Multiple_donor__non_UCB_,-17.49507608576226,17.49507608576226
864,hla_low_res_6|gvhd_proph_TDEPLETION_alone,17.46634079421237,17.46634079421237
133,peptic_ulcer_Yes,-17.4187924848882,17.4187924848882
848,hla_low_res_6|gvhd_proph_CDselect_alone,17.33733735163708,17.33733735163708
854,hla_low_res_6|gvhd_proph_Cyclophosphamide_alone,17.236416823537315,17.236416823537315
849,hla_low_res_6|gvhd_proph_CSA___MMF____others_not_FK_,17.203229873925928,17.203229873925928
15031,hepatic_severe_Not_done|donor_related_Unrelated,17.148207670889363,17.148207670889363
860,hla_low_res_6|gvhd_proph_No_GvHD_Prophylaxis,17.11863149578262,17.11863149578262
14758,tce_match_GvH_non_permissive|pulm_moderate_Not_done,17.054779980108012,17.054779980108012
15029,hepatic_severe_Not_done|donor_related_Multiple_donor__non_UCB_,16.900266821019123,16.900266821019123
179,pulm_moderate_Not_done,-16.399243646314112,16.399243646314112
16087,rheum_issue_Not_done|cardiac_No,-15.845435466204053,15.845435466204053
126,hepatic_severe_Not_done,-15.688539996602373,15.688539996602373
8294,tbi_status_TBI____Other___cGy__single|peptic_ulcer_Not_done,15.645828268498143,15.645828268498143
8260,tbi_status_TBI____Other___cGy__single|rituximab_Yes,15.513870463099115,15.513870463099115
14873,tce_match_Missing_value|pulm_moderate_Not_done,15.413709395679057,15.413709395679057
65,pulm_severe_Not_done,15.302023345435689,15.302023345435689
15341,peptic_ulcer_Not_done|pulm_moderate_Not_done,-14.752941229755434,14.752941229755434
9792,pulm_severe_No|donor_related_Unrelated,-14.497699026416775,14.497699026416775
9791,pulm_severe_No|donor_related_Related,-14.419960109592658,14.419960109592658
15153,prior_tumor_Not_done|gvhd_proph_CSA_alone,14.40518008344961,14.40518008344961
9790,pulm_severe_No|donor_related_Multiple_donor__non_UCB_,-14.273103328683748,14.273103328683748
16055,rheum_issue_No|donor_related_Related,14.23086763424204,14.23086763424204
16056,rheum_issue_No|donor_related_Unrelated,14.198088749380295,14.198088749380295
4525,dri_score_Intermediate___TED_AML_case__missing_cytogenetics|donor_related_Multiple_donor__non_UCB_,14.166844032377055,14.166844032377055
16054,rheum_issue_No|donor_related_Multiple_donor__non_UCB_,14.154669428910424,14.154669428910424
14929,tce_match_Permissive|pulm_moderate_Not_done,14.047885738962904,14.047885738962904
151,rheum_issue_No,-13.965221943142868,13.965221943142868
15236,prior_tumor_Yes|donor_related_Related,13.856763781334537,13.856763781334537
15237,prior_tumor_Yes|donor_related_Unrelated,13.740519946652903,13.740519946652903
169,tce_div_match_Permissive_mismatched,-13.674266522501583,13.674266522501583
4527,dri_score_Intermediate___TED_AML_case__missing_cytogenetics|donor_related_Unrelated,13.673305554091812,13.673305554091812
15235,prior_tumor_Yes|donor_related_Multiple_donor__non_UCB_,13.628688134359844,13.628688134359844
4526,dri_score_Intermediate___TED_AML_case__missing_cytogenetics|donor_related_Related,13.621019895568416,13.621019895568416
16384,tce_div_match_HvG_non_permissive|donor_related_Unrelated,13.12905505939901,13.12905505939901
167,tce_div_match_HvG_non_permissive,-13.005020867653865,13.005020867653865
16383,tce_div_match_HvG_non_permissive|donor_related_Related,12.9205992285952,12.9205992285952
766,hla_low_res_6|tbi_status_TBI____Other___cGy__single,12.916461464771373,12.916461464771373
130,prior_tumor_Yes,-12.894670657760209,12.894670657760209
15496,gvhd_proph_CSA___MTX____others_not_MMF_FK_|rheum_issue_Not_done,12.873676823924965,12.873676823924965
15812,gvhd_proph_FKalone|rheum_issue_Not_done,12.838231914510294,12.838231914510294
10576,prim_disease_hct_HIS|donor_related_Unrelated,-12.787994425710973,12.787994425710973
713,hla_high_res_8|cardiac_Not_done,-12.749589604099661,12.749589604099661
58,graft_type_Peripheral_blood,-12.663985122571404,12.663985122571404
10575,prim_disease_hct_HIS|donor_related_Related,-12.630710456868059,12.630710456868059
8300,tbi_status_TBI____Other___cGy__single|gvhd_proph_CSA_alone,-12.491513617189074,12.491513617189074
14691,in_vivo_tcd_Yes|donor_related_Related,12.478771167393942,12.478771167393942
10574,prim_disease_hct_HIS|donor_related_Multiple_donor__non_UCB_,-12.221711377895051,12.221711377895051
16079,rheum_issue_Not_done|tce_div_match_HvG_non_permissive,-12.155119240656065,12.155119240656065
15102,prior_tumor_No|gvhd_proph_CSA_alone,12.060434011755657,12.060434011755657
16406,tce_div_match_Permissive_mismatched|donor_related_Related,12.036766020447555,12.036766020447555
16407,tce_div_match_Permissive_mismatched|donor_related_Unrelated,12.032004952909118,12.032004952909118
14690,in_vivo_tcd_Yes|donor_related_Multiple_donor__non_UCB_,12.008436700721555,12.008436700721555
14692,in_vivo_tcd_Yes|donor_related_Unrelated,11.946357435812963,11.946357435812963
16418,donor_related_Multiple_donor__non_UCB_|melphalan_dose_Missing_value,11.758289619189403,11.758289619189403
16382,tce_div_match_HvG_non_permissive|donor_related_Multiple_donor__non_UCB_,11.64214190340035,11.64214190340035
173,melphalan_dose_Missing_value,-11.60153220474885,11.60153220474885
1042,hla_high_res_6|rheum_issue_Not_done,11.5917808051029,11.5917808051029
9080,graft_type_Peripheral_blood|donor_related_Related,11.475355428435039,11.475355428435039
9799,pulm_severe_No|pulm_moderate_Not_done,11.429615705264395,11.429615705264395
9081,graft_type_Peripheral_blood|donor_related_Unrelated,11.382136762776295,11.382136762776295
16078,rheum_issue_Not_done|tce_div_match_GvH_non_permissive,-11.313077719782902,11.313077719782902
16435,donor_related_Unrelated|melphalan_dose_Missing_value,11.270007015501342,11.270007015501342
16427,donor_related_Related|melphalan_dose_Missing_value,11.21852800300547,11.21852800300547
16080,rheum_issue_Not_done|tce_div_match_Missing_value,-11.194762437801451,11.194762437801451
15407,gvhd_proph_CDselect_alone|rheum_issue_Not_done,-11.17851125251311,11.17851125251311
16405,tce_div_match_Permissive_mismatched|donor_related_Multiple_donor__non_UCB_,11.13277338404006,11.13277338404006
9079,graft_type_Peripheral_blood|donor_related_Multiple_donor__non_UCB_,11.029880138168139,11.029880138168139
3706,hla_low_res_8|gvhd_proph_CSA___MTX____others_not_MMF_FK_,-11.002480789794966,11.002480789794966
71,prim_disease_hct_HIS,10.893921678950749,10.893921678950749
15203,prior_tumor_Yes|gvhd_proph_CSA_alone,10.749745506364416,10.749745506364416
41,cyto_score_Other,-10.696900825624168,10.696900825624168
13221,prod_type_PB|donor_related_Related,-10.625349962472834,10.625349962472834
14027,conditioning_intensity_TBD|rheum_issue_Not_done,-10.579306010409331,10.579306010409331
13222,prod_type_PB|donor_related_Unrelated,-10.57596278743037,10.57596278743037
8240,tbi_status_TBI____Other___cGy__single|prim_disease_hct_NHL,-10.559289547988643,10.559289547988643
12437,tce_imm_match_H_B|rheum_issue_Not_done,-10.48999291711198,10.48999291711198
16115,rheum_issue_Yes|cardiac_Not_done,10.36713658536012,10.36713658536012
25,dri_score_Intermediate___TED_AML_case__missing_cytogenetics,-10.334490220264456,10.334490220264456
866,hla_low_res_6|rheum_issue_Not_done,10.327189020934323,10.327189020934323
10028,pulm_severe_Yes|pulm_moderate_Not_done,10.323827256256093,10.323827256256093
64,pulm_severe_No,10.300734138060458,10.300734138060458
8226,tbi_status_TBI____Other___cGy__single|pulm_severe_No,-10.275247999689512,10.275247999689512
11291,prim_disease_hct_NHL|rheum_issue_Not_done,-10.229500226996628,10.229500226996628
13220,prod_type_PB|donor_related_Multiple_donor__non_UCB_,-10.224388946426663,10.224388946426663
8311,tbi_status_TBI____Other___cGy__single|gvhd_proph_TDEPLETION____other,-10.193128051239642,10.193128051239642
6869,cyto_score_Other|donor_related_Multiple_donor__non_UCB_,10.164545469609845,10.164545469609845
16355,hepatic_mild_Yes|donor_related_Multiple_donor__non_UCB_,10.15443923535267,10.15443923535267
16081,rheum_issue_Not_done|tce_div_match_Permissive_mismatched,-10.129518521784826,10.129518521784826
16356,hepatic_mild_Yes|donor_related_Related,10.116091357819647,10.116091357819647
16084,rheum_issue_Not_done|donor_related_Unrelated,10.063632646283391,10.063632646283391
6870,cyto_score_Other|donor_related_Related,10.050404656011533,10.050404656011533
16357,hepatic_mild_Yes|donor_related_Unrelated,10.015499123911816,10.015499123911816
9656,renal_issue_Yes|rheum_issue_Not_done,-9.992437792233547,9.992437792233547
176,cardiac_Not_done,9.991479017258357,9.991479017258357
16207,sex_match_Missing_value|donor_related_Multiple_donor__non_UCB_,-9.969612838909619,9.969612838909619
11591,prim_disease_hct_PCD|rheum_issue_Not_done,9.941521797136396,9.941521797136396
6871,cyto_score_Other|donor_related_Unrelated,9.939375794555827,9.939375794555827
6431,cyto_score_Missing_value|rheum_issue_Not_done,-9.922118246527996,9.922118246527996
16209,sex_match_Missing_value|donor_related_Unrelated,-9.890618889710986,9.890618889710986
16208,sex_match_Missing_value|donor_related_Related,-9.818943084454867,9.818943084454867
14731,tce_match_GvH_non_permissive|rheum_issue_Not_done,-9.780396240610076,9.780396240610076
11512,prim_disease_hct_Other_leukemia|donor_related_Unrelated,-9.735087287521425,9.735087287521425
11511,prim_disease_hct_Other_leukemia|donor_related_Related,-9.721751770435066,9.721751770435066
14816,tce_match_HvG_non_permissive|pulm_moderate_Not_done,9.683676119041259,9.683676119041259
1062,hla_high_res_6|donor_related_Unrelated,9.6790899960793,9.6790899960793
16414,tce_div_match_Permissive_mismatched|pulm_moderate_Not_done,-9.66818305787596,9.66818305787596
125,hepatic_severe_No,-9.64117986890029,9.64117986890029
1060,hla_high_res_6|donor_related_Multiple_donor__non_UCB_,9.572102057266733,9.572102057266733
1061,hla_high_res_6|donor_related_Related,9.56299223808643,9.56299223808643
7815,tbi_status_TBI_Other_LesserEqualcGY|donor_related_Related,9.518415246267413,9.518415246267413
14096,ethnicity_Missing_value|rheum_issue_Not_done,-9.493803556050999,9.493803556050999
15285,peptic_ulcer_No|donor_related_Related,-9.478170616094179,9.478170616094179
7816,tbi_status_TBI_Other_LesserEqualcGY|donor_related_Unrelated,9.473253846234986,9.473253846234986
10583,prim_disease_hct_HIS|pulm_moderate_Not_done,-9.462528915722933,9.462528915722933
8276,tbi_status_TBI____Other___cGy__single|obesity_No,-9.382824764128564,9.382824764128564
112,ethnicity_Non_resident_of_the_U_S_,9.373254862741497,9.373254862741497
15286,peptic_ulcer_No|donor_related_Unrelated,-9.370563219974132,9.370563219974132
1241,hla_high_res_10|cardiac_Not_done,9.344831718131521,9.344831718131521
48,tbi_status_TBI_Other_LesserEqualcGY,-9.335121531071323,9.335121531071323
127,hepatic_severe_Yes,-9.311517014670036,9.311517014670036
14389,obesity_Not_done|pulm_moderate_Not_done,9.281294237196427,9.281294237196427
8313,tbi_status_TBI____Other___cGy__single|rheum_issue_No,9.268036594837005,9.268036594837005
8278,tbi_status_TBI____Other___cGy__single|obesity_Yes,-9.254178642288391,9.254178642288391
15372,peptic_ulcer_Yes|hepatic_mild_No,9.203536152243291,9.203536152243291
7814,tbi_status_TBI_Other_LesserEqualcGY|donor_related_Multiple_donor__non_UCB_,9.145826376156844,9.145826376156844
15374,peptic_ulcer_Yes|hepatic_mild_Yes,9.104922767888388,9.104922767888388
99,prod_type_PB,9.054965573162638,9.054965573162638
32,dri_score_TBD_cytogenetics,-9.041740470860038,9.041740470860038
12091,cmv_status_negpos|donor_related_Unrelated,-9.03011670780251,9.03011670780251
14183,ethnicity_Non_resident_of_the_U_S_|donor_related_Related,-8.995764497134523,8.995764497134523
15284,peptic_ulcer_No|donor_related_Multiple_donor__non_UCB_,-8.9771012506484,8.9771012506484
4876,dri_score_Missing_value|renal_issue_Not_done,-8.94889009664681,8.94889009664681
52,tbi_status_TBI____Other___cGy__single,-8.913470751181496,8.913470751181496
8227,tbi_status_TBI____Other___cGy__single|pulm_severe_Not_done,8.87623557821165,8.87623557821165
8332,tbi_status_TBI____Other___cGy__single|donor_related_Multiple_donor__non_UCB_,8.876235578188926,8.876235578188926
14184,ethnicity_Non_resident_of_the_U_S_|donor_related_Unrelated,-8.859728745071008,8.859728745071008
14182,ethnicity_Non_resident_of_the_U_S_|donor_related_Multiple_donor__non_UCB_,-8.85884230647337,8.85884230647337
4,hla_high_res_6,-8.851322550682601,8.851322550682601
12090,cmv_status_negpos|donor_related_Related,-8.825030891043623,8.825030891043623
5267,dri_score_N_A___non_malignant_indication|rheum_issue_Not_done,8.814673178699923,8.814673178699923
15084,hepatic_severe_Yes|donor_related_Unrelated,8.770397801750834,8.770397801750834
3708,hla_low_res_8|gvhd_proph_CSA_alone,-8.76526042989337,8.76526042989337
80,prim_disease_hct_Other_leukemia,8.74481262143585,8.74481262143585
11510,prim_disease_hct_Other_leukemia|donor_related_Multiple_donor__non_UCB_,-8.744706067267003,8.744706067267003
15083,hepatic_severe_Yes|donor_related_Related,8.689678968930913,8.689678968930913
14696,in_vivo_tcd_Yes|cardiac_Not_done,-8.688633537943224,8.688633537943224
16076,rheum_issue_Not_done|hepatic_mild_Not_done,8.668369568023287,8.668369568023287
14977,hepatic_severe_No|donor_related_Unrelated,8.63805461498181,8.63805461498181
15266,peptic_ulcer_No|rheum_issue_Not_done,8.623854354205026,8.623854354205026
16027,gvhd_proph_TDEPLETION_alone|donor_related_Unrelated,-8.5902652483091,8.5902652483091
14976,hepatic_severe_No|donor_related_Related,8.586125519362461,8.586125519362461
16341,hepatic_mild_Not_done|donor_related_Related,-8.582772267207979,8.582772267207979
16403,tce_div_match_Missing_value|pulm_moderate_Not_done,-8.574605814155909,8.574605814155909
12089,cmv_status_negpos|donor_related_Multiple_donor__non_UCB_,-8.565671771523956,8.565671771523956
14975,hepatic_severe_No|donor_related_Multiple_donor__non_UCB_,8.563604110142856,8.563604110142856
10556,prim_disease_hct_HIS|rheum_issue_Not_done,-8.533926367931056,8.533926367931056
9329,vent_hist_Yes|pulm_moderate_Not_done,-8.481600907972446,8.481600907972446
6029,psych_disturb_Not_done|pulm_moderate_Not_done,8.467959368605372,8.467959368605372
15082,hepatic_severe_Yes|donor_related_Multiple_donor__non_UCB_,8.445754151367865,8.445754151367865
4407,dri_score_Intermediate___TED_AML_case__missing_cytogenetics|tbi_status_TBI____Other___cGy__single,8.36319353190129,8.36319353190129
9758,pulm_severe_No|gvhd_proph_CSA_alone,8.343047530505652,8.343047530505652
9209,vent_hist_No|pulm_moderate_Not_done,-8.341517162186106,8.341517162186106
8966,arrhythmia_Yes|pulm_moderate_Not_done,-8.291146152469874,8.291146152469874
8335,tbi_status_TBI____Other___cGy__single|melphalan_dose_Missing_value,8.273326431894187,8.273326431894187
3622,hla_low_res_8|tbi_status_TBI____Other___cGy__single,-8.264391129297913,8.264391129297913
3719,hla_low_res_8|gvhd_proph_TDEPLETION____other,-8.245729336925715,8.245729336925715
11086,prim_disease_hct_MDS|rheum_issue_Not_done,-8.221627201330817,8.221627201330817
63,renal_issue_Yes,8.200337017679086,8.200337017679086
3715,hla_low_res_8|gvhd_proph_Missing_value,-8.189422422848738,8.189422422848738
5584,dri_score_TBD_cytogenetics|donor_related_Unrelated,8.144472058994767,8.144472058994767
4993,dri_score_Missing_value|pulm_moderate_Not_done,8.142171705900173,8.142171705900173
14231,ethnicity_Not_Hispanic_or_Latino|rheum_issue_Not_done,-8.120533647350989,8.120533647350989
86,cmv_status_negpos,8.063289566967573,8.063289566967573
5583,dri_score_TBD_cytogenetics|donor_related_Related,8.049444131087338,8.049444131087338
14381,obesity_Not_done|donor_related_Related,8.014533558629335,8.014533558629335
9401,renal_issue_No|peptic_ulcer_Not_done,7.999110977240865,7.999110977240865
105,conditioning_intensity_Missing_value,-7.980239643725532,7.980239643725532
7517,diabetes_Yes|gvhd_proph_CSA_alone,-7.952771123121837,7.952771123121837
10133,prim_disease_hct_ALL|donor_related_Related,-7.921571117095052,7.921571117095052
9675,renal_issue_Yes|donor_related_Related,-7.887645817281217,7.887645817281217
9421,renal_issue_No|rheum_issue_Not_done,7.862621292361197,7.862621292361197
10134,prim_disease_hct_ALL|donor_related_Unrelated,-7.859105904817584,7.859105904817584
8288,tbi_status_TBI____Other___cGy__single|hepatic_severe_Not_done,-7.853333774574874,7.853333774574874
14957,hepatic_severe_No|rheum_issue_Not_done,7.832235734905263,7.832235734905263
106,conditioning_intensity_NMA,7.808237997136346,7.808237997136346
15836,gvhd_proph_FKalone|cardiac_Not_done,7.8049057440708305,7.8049057440708305
165,hepatic_mild_Yes,-7.798364245468078,7.798364245468078
1907,hla_match_drb1_low|rheum_issue_Not_done,-7.792278853411436,7.792278853411436
15471,gvhd_proph_CSA___MMF____others_not_FK_|donor_related_Related,7.769014317269666,7.769014317269666
23,dri_score_High___TED_AML_case__missing_cytogenetics,-7.730481305328623,7.730481305328623
13759,conditioning_intensity_NMA|donor_related_Multiple_donor__non_UCB_,-7.725860017235121,7.725860017235121
135,gvhd_proph_CSA___MMF____others_not_FK_,-7.71157454314926,7.71157454314926
13761,conditioning_intensity_NMA|donor_related_Unrelated,-7.701189676144927,7.701189676144927
14636,in_vivo_tcd_No|cardiac_Not_done,-7.69971788362209,7.69971788362209
13760,conditioning_intensity_NMA|donor_related_Related,-7.668941573509586,7.668941573509586
3714,hla_low_res_8|gvhd_proph_FKalone,-7.668717796084457,7.668717796084457
2747,hla_match_b_low|rheum_issue_Not_done,-7.653508604418556,7.653508604418556
15194,prior_tumor_Not_done|pulm_moderate_Not_done,-7.646429511488432,7.646429511488432
5582,dri_score_TBD_cytogenetics|donor_related_Multiple_donor__non_UCB_,7.643267355513467,7.643267355513467
3717,hla_low_res_8|gvhd_proph_Other_GVHD_Prophylaxis,-7.626774004020773,7.626774004020773
3709,hla_low_res_8|gvhd_proph_Cyclophosphamide____others,-7.602059163791982,7.602059163791982
3712,hla_low_res_8|gvhd_proph_FK__MTX____others_not_MMF_,-7.561419216009249,7.561419216009249
3720,hla_low_res_8|gvhd_proph_TDEPLETION_alone,-7.542439284584989,7.542439284584989
13687,conditioning_intensity_Missing_value|donor_related_Unrelated,7.537291061656387,7.537291061656387
3716,hla_low_res_8|gvhd_proph_No_GvHD_Prophylaxis,-7.520624494250182,7.520624494250182
13686,conditioning_intensity_Missing_value|donor_related_Related,7.520385229141399,7.520385229141399
10684,prim_disease_hct_IEA|donor_related_Unrelated,-7.509164850340955,7.509164850340955
3711,hla_low_res_8|gvhd_proph_FK__MMF____others,-7.504297499461645,7.504297499461645
15470,gvhd_proph_CSA___MMF____others_not_FK_|donor_related_Multiple_donor__non_UCB_,7.487743851611319,7.487743851611319
10683,prim_disease_hct_IEA|donor_related_Related,-7.479210102569773,7.479210102569773
16077,rheum_issue_Not_done|hepatic_mild_Yes,7.468388080601526,7.468388080601526
15167,prior_tumor_Not_done|rheum_issue_Not_done,7.456436219595387,7.456436219595387
9676,renal_issue_Yes|donor_related_Unrelated,-7.445101160492646,7.445101160492646
8315,tbi_status_TBI____Other___cGy__single|rheum_issue_Yes,7.393884390339268,7.393884390339268
13457,cyto_score_detail_Not_tested|donor_related_Multiple_donor__non_UCB_,-7.393717841085988,7.393717841085988
2434,hla_match_a_high|donor_related_Unrelated,-7.375770820896343,7.375770820896343
3722,hla_low_res_8|rheum_issue_Not_done,7.339863622544216,7.339863622544216
15373,peptic_ulcer_Yes|hepatic_mild_Not_done,7.322700419376406,7.322700419376406
2433,hla_match_a_high|donor_related_Related,-7.319856897030953,7.319856897030953
15581,gvhd_proph_CSA_alone|rheum_issue_Not_done,-7.317458746435582,7.317458746435582
13685,conditioning_intensity_Missing_value|donor_related_Multiple_donor__non_UCB_,7.3104753693783096,7.3104753693783096
2432,hla_match_a_high|donor_related_Multiple_donor__non_UCB_,-7.28931547450333,7.28931547450333
8225,tbi_status_TBI____Other___cGy__single|renal_issue_Yes,7.26951180473451,7.26951180473451
5464,dri_score_TBD_cytogenetics|tbi_status_TBI____Other___cGy__single,7.265023595092212,7.265023595092212
3710,hla_low_res_8|gvhd_proph_Cyclophosphamide_alone,-7.262203572510301,7.262203572510301
3705,hla_low_res_8|gvhd_proph_CSA___MMF____others_not_FK_,-7.251189105776992,7.251189105776992
6016,psych_disturb_Not_done|tce_div_match_GvH_non_permissive,7.220541790060368,7.220541790060368
8242,tbi_status_TBI____Other___cGy__single|prim_disease_hct_Other_leukemia,7.200567146100966,7.200567146100966
15326,peptic_ulcer_Not_done|hepatic_mild_Not_done,7.19907452266508,7.19907452266508
14382,obesity_Not_done|donor_related_Unrelated,7.151773811874,7.151773811874
4196,dri_score_High___TED_AML_case__missing_cytogenetics|rheum_issue_Not_done,-7.145854798876383,7.145854798876383
10132,prim_disease_hct_ALL|donor_related_Multiple_donor__non_UCB_,-7.113374659066448,7.113374659066448
15011,hepatic_severe_Not_done|rheum_issue_Not_done,7.07203832450576,7.07203832450576
9981,pulm_severe_Yes|peptic_ulcer_Not_done,-7.0644935248339085,7.0644935248339085
16060,rheum_issue_No|cardiac_Not_done,7.033964467181646,7.033964467181646
12,hla_match_a_high,7.022745278984205,7.022745278984205
3899,hla_match_drb1_high|donor_related_Multiple_donor__non_UCB_,-6.949476198233171,6.949476198233171
11689,prim_disease_hct_SAA|rheum_issue_Not_done,-6.94563326991229,6.94563326991229
16073,rheum_issue_Not_done|race_group_Native_Hawaiian_or_other_Pacific_Islander,6.934675102576504,6.934675102576504
12553,tce_imm_match_H_H|pulm_moderate_Not_done,6.928821799791763,6.928821799791763
3901,hla_match_drb1_high|donor_related_Unrelated,-6.925248056287825,6.925248056287825
9302,vent_hist_Yes|rheum_issue_Not_done,-6.919802523882542,6.919802523882542
8301,tbi_status_TBI____Other___cGy__single|gvhd_proph_Cyclophosphamide____others,6.9164780579001395,6.9164780579001395
3900,hla_match_drb1_high|donor_related_Related,-6.880912809525329,6.880912809525329
5884,psych_disturb_No|pulm_moderate_Not_done,6.8799647871777,6.8799647871777
147,gvhd_proph_Other_GVHD_Prophylaxis,-6.860024264237201,6.860024264237201
15091,hepatic_severe_Yes|pulm_moderate_Not_done,6.845275319973886,6.845275319973886
67,prim_disease_hct_ALL,6.8416729209815985,6.8416729209815985
